연,월,일,시,분,수신지역,내용
2020,2,25,18,31,동대문구,"[동대문구청]2.1.(토)부터 은평성모병원을 방문, 퇴원, 간병을 하셨던분 중 열, 기침 등 호흡기증상이 있으시면 마스크 착용후 선별진료소를 방문하시기 바랍니다."
2020,2,25,18,47,도봉구,[도봉구청]노원상계백병원 확진자발생 2.24.(월)부터 상계백병원 방문도봉구민중 이상증상시 보건소(02-2091-4483/4490) 또는 1399번 상담바랍니다.
2020,2,25,19,4,도봉구,[도봉구청]노원상계백병원 확진자발생 2.24.(월)부터 상계백병원 방문도봉구민중 이상증상시 보건소(02-2091-4483/4490) 또는 1339번 상담바랍니다.
2020,2,25,21,8,송파구,"[송파구] 2.25(화)21:00 현재 코로나19 확진자 2명 추가 발생(총9명), 격리조치 및 방역 완료. 자세한 내용은 송파구 홈페이지, 블로그를 참고바랍니다"
2020,2,26,15,17,노원구,"[노원구청]노원구 보건소 선별진료소 2.27(목) 9시 정상 운영. 구청 재난 문자를 받고 싶으신 분은 전화문의(2116-3430~3), 구홈페이지에서 신청바람."
2020,2,26,16,29,강남구,[강남구청]코로나19 확진자 2명공개/각각 대구·제주 주소지.1명은 실질적 강남거주자/상세내용은 강남구 홈페이지( www.gangnam.go.kr)참고바랍니다.
2020,2,26,16,43,관악구,"[관악구청]금일 코로나19 두번째 확진자 발생(보라매동), 상세내용 관악구홈페이지 확인, 증상발생시 1339 또는 관악보건소(02-879-7133) 연락바랍니다."
2020,2,27,9,38,양천구,"[양천구청]26일 신월3동 코로나19 확진자 발생. 국가지정병원으로 이송. 개인위생 준수바라며, 동선 등 내용은 구청 홈페이지 참고 바랍니다."
2020,2,27,10,34,강동구,[강동구]명성교회1차밀접접촉자215명중142명에대해2.26.코로나19검사결과전원음성으로판명됨.검사를받으신분들께서는음성이더라도14일동안자가격리를철저히유지바랍니다.
2020,2,27,11,55,금천구,"[금천구청] 코로나19 확진자(74세, 여) 이동경로 안내. 방역 모두 완료. 금천구청 홈페이지를 참고해 주시기 바랍니다."
2020,2,27,13,4,관악구,"[관악구청]관악구 두 번째 확진자(보라매동) 동선 공개, 자세한 사항은 관악구청 홈페이지 및 블로그 확인, 증상 발생 시 1339 상담후 선별진료소 방문바랍니다."
2020,2,27,16,58,양천구,[양천구청]양천구 코로나19 확진자 동선관련 상세내용은 양천구 블로그에서도 확인가능합니다.(blog.naver.com/yangcheon2016)
2020,2,27,16,59,금천구,"[금천구청]확진자와 접촉한 7명 모두 음성 판정, 현재 자가격리중, 격리기간 종료 전 재검사하여 음성판정시 격리해제, 관련 장소 모두 방역소독 완료"
2020,2,27,17,1,양천구,[양천구청]양천구 코로나19 확진자 동선관련 상세내용은 양천구 블로그에서도 확인가능합니다. blog.naver.com/yangcheon2016
2020,2,27,17,25,마포구,"[마포구청] 타 구 거주 코로나19 확진자(29세, 여) 마포구 방문 확인 후 해당지역 방역 및 격리완료. 자세한 사항은 마포구청 홈페이지 확인 바랍니다."
2020,2,27,17,34,영등포구,"[영등포구청]2/27목, 여의도 파크원 건설현장 직원(인천시민) 코로나 확진! 건설현장 등 관련 시설 폐쇄, 방역 조치! 자세한 사항은 구청홈페이지 확인바랍니다."
2020,2,27,18,54,강서구,"[강서구청]양천구 거주 코로나19 확진자 1명 강서구(염창동, 화곡3동)이동동선 확인 후 해당지역 방역완료. 자세한 사항 구청 홈페이지를 확인 바랍니다."
2020,2,27,19,38,은평구,"[은평구청] 코로나19 추가확진자 4명(진관동3명, 갈현1동1명)동선공개. 해당지역 방역 및 격리완료. 자세한 사항은 은평구청 홈페이지 확인.  ep.go.kr"
2020,2,28,10,38,강동구,[강동구]5번째확진자가발생했습니다.명성교회부목사A씨와 같은아파트엘리베이터에서마스크착용없이접촉한것으로확인됨.국가지정격리병원으로이송예정이며접촉자및동선파악중입니다.
2020,2,28,11,44,서초구,"[서초구청]2.28(금)코로나19 확진자 발생. 신세계 강남점, 뉴코아 아울렛 강남점 방역 및 폐쇄중임. 추후 확진자 동선 공지 예정."
2020,2,28,12,18,강남구,"[강남구청] 2.28 코로나19 확진자 4인 발생. 개포동 논현동 테헤란로 인근, 동선 방역 및 폐쇄 조치. 추후 확진자 동선 구청 홈페이지 공지 예정"
2020,2,28,15,14,광진구,"[광진구청] 2.28. 코로나19 확진자 1인발생 이동지점 방역 및 폐쇄 조치. 상세내용은 구청홈페이지(www.gwangjin.go.kr), SNS 확인"
2020,2,28,15,43,노원구,"[노원구청]코로나19 추가 확진자(공릉동 45세 여성) 발생, 상세내용은 구청 홈페이지를 참조해 주시고, 재난문자 받으실 분 <구청 홈페이지>로 신청해 주십시오."
2020,2,28,17,44,관악구,"[관악구청]금일 코로나19 세 번째 확진자 발생(성현동), 자세한 내용 관악구 홈페이지 및 블로그 확인, 증상발생 시 1339 상담 후 선별진료소 방문 바랍니다."
2020,2,28,17,45,강남구,[강남구청] 코로나19 추가 확진자 4명 정보공개. 누적 확진자 7명 이동경로는 강남구 홈페이지( www.gangnam.go.kr) 참고바랍니다.
2020,2,28,17,49,동대문구,[동대문구청]관내 확진자에 대한 서울시 조사 결과 관내에서는 자택외에 특별히 방문한 곳이 없음을 알려드립니다.자세한 사항은 구청 홈페이지에 곧 게시할 예정입니다.
2020,2,28,18,24,송파구,"[송파구] 2.28(금) 18:00 현재 코로나19 확진자 3명 추가 발생(총12명), 격리조치완료. 자세한 내용은 송파구 홈페이지를 참고 바랍니다."
2020,2,28,18,43,서대문구,"[서대문구청]2.27.코로나19 추가확진자 1명(남/48세,북가좌1동 이랜드해가든APT)발생. 격리병원 이송, 방역조치완료. 추후 확진자 동선 구홈페이지 공개예정"
2020,2,28,19,9,관악구,"[관악구청] 코로나19 두 번째 확진자 추가 동선 공개, 자세한 사항은 관악구 홈페이지 및 블로그 확인, 증상발생 시 1339 상담 후 선별진료소 방문바랍니다."
2020,2,29,13,16,동작구,"[동작구청]코로나19 두번째 확진자 발생(사당동 거주, 60년생 여) 상세내용 동작구 홈페이지·SNS확인, 증상발생시 1339 상담 후 선별진료소 방문 바랍니다."
2020,2,29,14,23,영등포구,[영등포구청]코로나 첫 번째 구민 확진자 및 여의도 파크원 추가 확진자 발생. 자세한 사항은 구청 홈페이지 확인바랍니다.
2020,2,29,17,45,송파구,"[송파구] 코로나19 확산방지를 위한 주민 협조사항입니다. 종교행사, 모임, 집회 등을 자제 해 주시고, 개인 위생관리와 예방수칙을 꼭 지켜주시기 바랍니다."
2020,2,29,17,56,관악구,"[관악구청] 코로나19 확산방지를 위해 주민 협조사항입니다. 종교행사, 모임, 집회등을 자제해 주시고, 개인 위생관리와 예방수칙을 꼭 지켜주시기 바랍니다."
2020,2,29,18,12,마포구,"[마포구청]코로나19 확산방지를 위해 종교행사, 모임, 집회 등을 자제해 주시고, 마스크 착용, 손씻기 등 개인 위생수칙을 꼭 지켜주시기 바랍니다."
2020,2,29,19,0,동작구,"[동작구청] 코로나19 확산방지를 위해 주민 협조사항입니다. 종교행사, 모임, 집회 등을 자제해 주시고, 개인 위생관리와 예방수칙을 꼭 지켜주시기 바랍니다."
2020,2,29,19,39,은평구,"[은평구청]2.29(토) 코로나19 누적확진자 8명(추가0명, 거주지기준) 관련정보는 홈페이지,페이스북,블로그 확인.개인위생준수,종교행사,집회등 모임자제바랍니다."
2020,3,1,9,7,노원구,[노원구청] 코로나19 확산! 외출 자제! 코로나19 관련 문자 받으실 분은 이 번호로 신청해 주세요! 02-2116-2300
2020,3,1,10,2,동대문구,"[동대문구청]지역사회감염 예방을 위해, 야외집회, 종교행사등 참여를 자제해주시고, 손씻기, 마스크쓰기 기침예절등 위생수칙을 잘 지켜주시기 바랍니다."
2020,3,1,11,17,양천구,[양천구청]코로나19 양천구 2번째 확진자(신정4동 거주) 발생. 상세내용은 양천구 블로그 확인 바랍니다. blog.naver.com/yangcheon2016
2020,3,1,14,34,성북구,"[성북구청] 코로나19 감염예방을 위해 야외집회, 종교행사 등 참여를 자제해 주시고 손 씻기, 마스크착용, 기침 예절 등 개인위생수칙을 철저히 지켜주십시오."
2020,3,1,15,25,영등포구,[영등포구청]코로나 두 번째 구민 확진자 발생(대림3동). 자세한 사항은 영등포구청 홈페이지 확인바랍니다.
2020,3,1,16,0,동대문구,"[동대문구청] 광진구 확진자가 장안1동 일번지 정육식당에서 2.29일 19~21시경 식사, 우리구는 3.1일 15:50에 식당폐쇄, 방역실시 완료"
2020,3,1,16,10,동대문구,[동대문구청] 위 시간대 식당 이용 주민께서는 유의하시고 증상이 있는 경우 보건소(02-2127-4283)로 연락 바랍니다.(광진구민 확진일 3.1)
2020,3,1,16,36,금천구,"[금천구청]16시 현재 금천구 추가 확진자 없음, 영등포 확진자 동선 방역소독 완료(가산동 에이스하이엔드타워9차), 개인 위생관리와 예방수칙 준수, 홈페이지 참고"
2020,3,1,16,50,광진구,"[광진구청] 3.1. 코로나19 광진구 2번확진자 발생 이동지점 방역 및 폐쇄 조치 상세내용은 광진구홈페이지(www.gwangjin.go.kr), SNS 확인"
2020,3,1,18,8,중랑구,[중랑구청] 타지역 확진자가 중화동 찌개달인본점(중랑역로89)에서 2.29. 21:30 ~ 23:00까지 머무름. (방역완료 및 식당폐쇄)
2020,3,1,18,10,중랑구,"[중랑구청] 위 시간대에 해당 식당 이용 주민께서는 유의하시고, 증상이 있는 경우, 중랑구 보건소(02-2094-0800)로 연락 바랍니다.(확진일 3.1.)"
2020,3,1,18,21,관악구,"[관악구청] 금일 코로나19,  4번째 확진자 발생(청룡동), 자세한 내용 관악구 홈페이지 및 블로그 확인, 증상발생시 1339 상담 후 선별진료소 방문 바랍니다"
2020,3,1,19,5,성북구,"[성북구청] 확진자 1명 발생. 구민여러분께서는 발열, 기침 등 호흡기 증상이 발생한 경우 보건소 2241-5271, 질병관리본부 1339로 연락해주십시오."
2020,3,2,11,36,영등포구,[영등포구청]코로나 3번째 구민 확진자(대림3동) 및 여의도 파크원 3번째 확진자(인천시민) 발생. 자세한 사항은 구청 홈페이지 확인바랍니다.
2020,3,2,15,55,금천구,"[금천구청]광명시 확진자와의 접촉자 4명(가산동 에이스하이엔드타워9차 직장인), 금천구 주민 없음, 출근시간대 건물입구에서 발열여부 확인, 현재 유증상자 없음"
2020,3,2,16,0,마포구,"[마포구청]코로나19 금일 16시기준 추가 확진자 없음. 기침, 발열, 호흡기 증상시 1339, 보건소(02-3153-9004~7)로 문의 바랍니다."
2020,3,2,18,0,동작구,"[동작구청] 코로나19확산 방지를 위해 외출 최소화, 불필요한 다중 만남 자제 등 ‘사회적 거리두기’에 적극 동참하여 주시기 바랍니다.(02-820-9323)"
2020,3,2,18,49,도봉구,"[도봉구청]코로나19 확진자발생. 발열,기침 등 호흡기 증상시 보건소(02-2091-4483,4490), 질병관리본부1339 연락. 자세한사항은 구청홈페이지참조"
2020,3,2,19,15,종로구,"[종로구청]금일 추가확진자 없음 (완치4,치료중7,자가격리중19) 각종행사 참여자제 개인위생수칙(손씻기, 마스크착용)준수, 종로구보건소(02-2148-3725)"
2020,3,2,21,8,은평구,[은평구청]코로나19 금일21시기준 추가확진자없음. 증상의심시 선별진료소 방문. 자세한사항 구홈페이지 확인.
2020,3,3,17,33,금천구,"[금천구청]금천구 확진자(74세, 중국인 여성) 금일 격리해제(퇴원), 영등포구 확진자와의 접촉자 7명(자세한 사항 홈페이지 참고), 금천구민 없음"
2020,3,3,19,23,은평구,[은평구청]금일 코로나19 확진자1명(갈현1동) 추가발생(누적8명). 확진자이동동선 역학조사중 추후공개예정.
2020,3,3,21,38,동대문구,"[동대문구]3월3일 신천지교인1249명 조사완료(유증상자 26명중 25명음성, 1명검사중), 3월2일 제보로 부속시설 1개 추가발견 방역소독및폐쇄, 홈페이지 참조"
2020,3,4,11,2,성동구,"[성동구청] 확진자 동선공개(3.4.현재) 성동구 확진자 3명, 타지역 거주 성동구 직장인 8명, 세부현황 성동구 홈페이지 및 SNS에서 확인하시기 바랍니다."
2020,3,4,15,27,도봉구,"[도봉구청]첫 확진자 심층역학조사 확인결과 밀접접촉자로 분류된 사람은 없으며, 방문공간 모두 방역조치완료. 자세한 이동경로는 구청홈페이지를 참고."
2020,3,4,18,9,동대문구,[동대문구청] 3월4일 회기동 35세 남성 2번 확진자로 판명 방문지에 대해 방역소독 및 폐쇄조치 동선은 구 홈페이지(www.ddm.go.kr) 공개예정
2020,3,4,21,34,동대문구,"[동대문구청] 동대문구 3번(회기동, 여23세), 4번(전농1동, 남23세)확진자 발생, 방문지에 대한 방역소독 및 영업중지 조치. 자세한 동선은 구홈페이지 참조"
2020,3,4,21,57,중랑구,"[중랑구청] 3월 4일 중화2동 코로나19 확진자 1명 발생, 거주지 방역 완료 및 역학조사 진행중"
2020,3,4,21,58,중랑구,"[중랑구청] 손씻기, 마스크 착용 등 예방수칙 준수 바랍니다. 발열 등 증상이 있는 경우 중랑구 보건소(02-2094-0800)로 연락 바랍니다."
2020,3,5,7,46,용산구,[용산구청]3.4.(수) 22시 코로나19 확진자 1명 발생(보광동). 역학조사 진행중. 발열 및 호흡기 증상시 보건소로 연락바랍니다.(02-2199-8091)
2020,3,5,10,52,강북구,"[강북구청]코로나19 확진자 2명(번3동1명,삼각산동1명) 발생, 역학조사 진행중 상세내용은 추후 구청 홈페이지에 공개 예정입니다."
2020,3,5,11,52,강북구,"[강북구청]확진자 2명 발생(1번: 번3동 남 36세, 2번: 삼각산동 여 16세) 역학조사 진행중, 홈페이지 공개 완료시 추후안내 하겠습니다."
2020,3,5,12,10,광진구,"[광진구청]코로나19 긴급상황 발생시 정보공유를 원하시는 구민은 신청바랍니다. 콜센터(02-450-1000), 광진구 홈페이지(www.gwangjin.go.kr)"
2020,3,5,18,44,강북구,"[강북구청]확진자 방문공간 모두 방역조치 완료, 서울시 역학조사관과 5개팀이 역학조사중, 조사완료시 홈페이지에 이동경로 공개하겠습니다."
2020,3,6,12,59,송파구,"[송파구] 3.6.(금) 코로나19 관련, 성남분당제생병원 8명 중1인은 송파구 거주자로 현재 역학조사중이며, 세부사항은 추후 홈페이지 공지 예정입니다."
2020,3,6,13,41,강북구,"[강북구청]확진자 이동경로 홈페이지 게시, 이동경로와 관련 발열, 호흡기증상이 있는 경우 보건소02-901-7704,7706, 콜센터(120/1339)연락바랍니다"
2020,3,6,14,42,강북구,"[강북구청]확진자이동경로 중 상호미발표 업소는 접촉자 미발생입니다. 코로나19관련 상담은 보건소02-901-7704,7706,콜센터(120/1339)연락바랍니다."
2020,3,6,16,29,강북구,[강북구청]삼양 아케이드 (삼양사거리) 내 “ 맛밥” 은 코로나 확진자(2) 이동 경로와는 관련이 없습니다.
2020,3,6,19,57,강서구,[강서구청]3.6.(금) 금천구 코로나19 확진자 중 강서구민(화곡본동)이 포함되어 알려드립니다. 세부 사항은 블로그 참조 바랍니다. bre.is/j6LL363M
2020,3,6,20,35,양천구,[양천구청]코로나19 양천구 3번째 확진자(목5동 거주) 발생. 상세내용은 양천구 블로그 확인 바랍니다. blog.naver.com/yangcheon2016
2020,3,7,10,15,강북구,"[강북구청] 확진자 2명 추가 발생, 번동 확진자의 가족으로 서남병원에 격리조치 및 방문지에 대한 소독완료, 동선 홈페이지 공개시 추가 문자 안내할 예정입니다."
2020,3,7,12,5,강북구,"[강북구청]추가 확진자 2명 동선 홈페이지 게시, 코로나19 관련 발열, 기침 증상시 보건소02-901-7704,7706, 콜센터(120/1339)연락바랍니다"
2020,3,7,12,42,도봉구,"[도봉구청] 타구 코로나19 추가 확진자에 대한 역학조사결과, 도봉구 이동경로 및 대응조치 사항을 도봉구청 홈페이지에 공지합니다. 참고바랍니다."
2020,3,7,13,41,금천구,"[금천구청]코로나19 확산 방지를 위해 예배, 법회, 미사 등 종교행사와 각종 모임 참석을 자제하여 주시고, 사회적 거리두기 실천 등 예방수칙 준수 요망"
2020,3,7,14,32,양천구,[양천구청]코로나19 양천구 4번째 확진자 발생(3번째 확진자 가족). 상세내용은 양천구 블로그 확인 바랍니다 blog.naver.com/yangcheon2016
2020,3,7,14,41,동대문구,"[동대문구청] 3월6일 동대문구(이문동)거주 성북구민(38세,남성)이 확진자로 판명,활동동선 사업장 일시폐쇄 및 소독 중.동선은 구 홈페이지 확인 요망."
2020,3,7,16,34,양천구,"[양천구청]코로나19 양천구 5번째 확진자(3,4번 확진자 가족)발생. 상세내용은 양천구블로그 확인 바랍니다. blog.naver.com/yangcheon2016"
2020,3,7,18,28,송파구,"[송파구청] 코로나19 확산방지를 위해 예배, 법회 등 종교행사와 집회, 각종 모임을 자제하여 주시고, 개인 위생관리와 예방수칙을 준수하시기 바랍니다."
2020,3,7,18,34,은평구,[은평구청]금일 코로나19 확진자 1명(대조동) 추가발생. 방역 소독완료. 이동동선 추후 공개. 잠시멈춤 거리두기에 동참 부탁합니다.
2020,3,7,20,57,관악구,"[관악구청]코로나19, 우리구 5번째 확진자 발생(보라매동), 현재 역학조사 진행중이며 자세한 내용은 추후 홈페이지 공지 예정, 감염병 예방수칙을 준수 바랍니다."
2020,3,8,9,10,광진구,"[광진구청] 실내 집단감염 위험! 주일 종교활동을 자제해 주시고 실내 다중이용 시설에서는 마스크를 반드시 착용, 호흡기 증상자는 보건소(024507090)상담바람"
2020,3,8,9,10,광진구,"[광진구청]코로나19 정보공유 문자수신을 원하시는 구민께선 콜센터(02-450-1000), 광진구 홈페이지(www.gwangjin.go.kr)로 신청 바랍니다."
2020,3,8,10,11,강남구,[강남구청] 실내 집단감염 위험. 주일 종교활동 자제 요망. 다중시설 이용시 마스크 필수. 상세내용 홈피(gangnam.go.kr) 문자서비스를 신청[강남구청]
2020,3,8,12,42,관악구,"[관악구청] 코로나19, 5번째 확진자(보라매동) 동선 공개, 자세한 사항은 관악구 홈페이지 및 블로그 확인, 증상발생시 1339 상담 후 선별진료소 방문바랍니다"
2020,3,8,13,0,동대문구,"[동대문구청]5번 확진자 발생(휘경동, 27세 남, 2번 확진자 접촉자). 금일 입원조치 및 활동 동선 사업장 일시폐쇄 후 소독예정, 구 홈페이지 참조"
2020,3,8,13,40,관악구,"[관악구청] 코로나19, 우리구 6번째 확진자 발생(미성동), 현재 역학조사 진행중이며 자세한 내용은 추후 홈페이지 공지 예정, 감염병 예방수칙을 준수 바랍니다."
2020,3,8,14,40,동대문구,"[동대문구청]6,7번확진자발생,동대문거주 성북구주민(3.7. 확진자)의 장인,장모(이문1동), 금일입원조치 및 활동동선사업장 일시폐쇄 후 소독예정, 홈페이지 참조"
2020,3,8,17,24,강남구,[강남구청] 8일 코로나19 확진자 1명 추가(누적 13명). 상세내용 홈피(gangnam.go.kr) 참조. 개별 문자는 홈피에서 신청하세요.[강남구청]
2020,3,8,21,21,동대문구,"[동대문구청]8,9번 확진자 발생(이문2동 25세,여/휘경2동 27세,남) 2번 확진자 접촉자.금일 입원조치 및 사업장 일시폐쇄 후 소독예정,홈페이지 참조"
2020,3,8,21,24,동대문구,"[동대문구청]10,11확진자 발생.이문1동거주 성북구 주민(3월7일 확진자)의 처,자(생후4주 여) 금일 입원조치예정,자가산후 조리중.외부 이동 동선 없습니다."
2020,3,9,11,40,마포구,"[마포구청]타 지역 코로나19 확진자(78세, 여) 중 마포구 이동 동선이 확인되어 안내드립니다. 자세한 사항은 마포구청 공식 블로그, 홈페이지를 참고 바랍니다."
2020,3,9,15,1,구로구,"[구로구청] 관내 추가 확진자 없음, 노원구 확진자(신도림 코리아빌딩 근무(11층))의 접촉자 및 관련 동선 등 자세한 정보는 구로구 홈페이지를 참고바랍니다."
2020,3,9,18,24,은평구,[은평구청]금일 코로나19 확진자 3명(신사2동2명/구산동1명) 추가발생. 방역소독 완료. 이동동선 추후 홈페이지 공개. 잠시멈춤 거리두기에 동참 부탁합니다.
2020,3,9,18,52,강동구,"[강동구청]3.9.(월)코로나19확진자(43세,여성,강일리버파크5단지)1명추가발생.격리조치및자택등방역중으로확진자이동동선은역학조사결과가나오는대로공개예정입니다."
2020,3,9,19,30,관악구,"[관악구청]코로나19, 6번째 확진자 동선 공개, 자세한 내용은 홈페이지 및 블로그 확인, 정보공유 문자수신을 원하는 구민께선 관악구 홈페이지 신청 바랍니다."
2020,3,9,20,3,구로구,"[구로구청] 관내 거주 7명 추가 확진자 발생(신도림동 코리아빌딩 11층 근무), 상세정보는 추후 홈페이지에 공개할 예정이니 잠시멈춤 캠페인에 동참바랍니다."
2020,3,9,20,26,동작구,"[동작구청] 코로나19 추가 확진자 발생(대방동 거주, 91년생, 여) 자세한 내용은 동작구 홈페이지를 확인해 주시기 바랍니다."
2020,3,10,0,2,금천구,"[금천구청]금천구 2번째 확진자(가산동, 여성) 발생, 서울의료원 이송, 긴급방역 실시, 상세 정보는 추후 홈페이지 참조"
2020,3,10,0,5,금천구,"[금천구청]구로구 확진자(구로5동, 남성) 금천01번 운수종사자, 차량방역 실시,  3.10 첫차부터 예비차량 투입, 벽산아파트~금천구청역까지만 단축운행"
2020,3,10,7,4,양천구,"[양천구청] 코로나19 양천구 6, 7번째 확진자 발생(2명). 상세내용은 양천구 블로그 확인 바랍니다. blog.naver.com/yangcheon2016"
2020,3,10,8,30,동작구,"[동작구청]코로나19 추가 확진자 2명 발생(노량진1동 80년생 여, 노량진1동 72년생 여) 상세내용 동작구 홈페이지 및 SNS를 확인하여 주시기 바랍니다."
2020,3,10,10,19,관악구,"[관악구청] 코로나19, 7,8,9,10번째 확진자(콜센터 근무) 발생(신원동2명, 대학동1명, 미성동1명), 상세내용 관악구 홈페이지 및 블로그 확인 바랍니다."
2020,3,10,10,38,강서구,"[강서구청]10일 구로구 직장내 집단감염 관련, 강서구 거주 확진자 4번~8번(5명) 발생. 거주지 방역완료. 동선 파악중. 추후 홈페이지 공개 예정입니다."
2020,3,10,10,50,송파구,"[송파구청] 3.10.(화) 코로나19확진자 1명 발생, 구로구콜센터집단발생자 중 1인으로 현재 역학조사중. 자세한사항은 추후 홈페이지 공지 예정입니다."
2020,3,10,10,51,동작구,"[동작구청]코로나19 ‘사회적 거리두기’동참해 주시고 재난,구정홍보 문자를 받으실 분 31일까지전화신청(820-1850~9,평일9~18시).홈페이지 연중신청 가능"
2020,3,10,10,58,양천구,[양천구청] 코로나19 양천구 8~10번째 확진자 발생(3명). 상세내용은 양천구 블로그 확인 바랍니다. blog.naver.com/yangcheon2016
2020,3,10,11,24,영등포구,"[영등포구청]코로나 4번째(문래동 거주), 5번째(양평1동 거주) 구민 확진자 발생. 자세한 사항은 구청 홈페이지 확인 바랍니다."
2020,3,10,13,0,광진구,[광진구청]타지역거주 확진자발생! 이동지점 방역 및 폐쇄조치. 상세내용 www.gwangjin.go.kr 참조. 코로나19정보 문자신청 콜센터(024501000)
2020,3,10,15,43,구로구,"[구로구청] 3. 10 현재 신도림동 콜센터 관련 12명 확진(누적 13명), 상세정보는 구로구청 블로그 및 홈페이지를 확인 바랍니다."
2020,3,10,16,8,서초구,[서초구청]코로나19 확진자(송파구민) 신세계 강남점 경유(3/7) 통보 받고 16시부터 폐쇄 및 방역 예정. 정확한 동선은 확인후 구청 홈페이지 공개 예정.
2020,3,10,16,26,동작구,"[동작구청] 코로나19 5번째 확진자 발생(콜센터 근무, 노량진1동), 상세내용은 동작구 홈페이지 및 SNS를 확인하여 주시기 바랍니다."
2020,3,10,17,16,금천구,"[금천구청]금천구 3번째 확진자(시흥1동, 여성, 구로구 콜센터 직원) 발생, 국가지정병원 이송 준비 중, 추후 확진자 동선 및 구체적인 사항은 홈페이지 안내"
2020,3,10,17,16,도봉구,"[도봉구청] 마스크 판매시간 안내: 관내 약국 3.11(수)부터 오후4시 판매시작(평일기준). 단,일부약국은 사정상 판매시간이 다를 수 있어 별도확인 필요합니다."
2020,3,10,17,39,강북구,"[강북구청]마스크 판매시간 안내: 관내 약국 3.11(수)부터 오후4시 판매시작(평일기준). 단, 일부약국은 사정상 판매시간이 다를 수 있어 별도확인 필요합니다."
2020,3,10,17,40,동대문구,"[동대문구청] 12,13번 확진자발생, 동대문구(휘경2동 27세남/28세남)형제, 9번 확진자 접촉자. 금일중 입원조치 및 소독예정, 상세 동선은 홈페이지 참조"
